batch_index,pair_id,device,amp,image_size,tokenizer_sec,encoder_sec,decoder_sec,reverse_sec,full_sec,cover_l2,cover_psnr,token_mse,reverse_l2
104,000000189213__trial,cuda,False,256,0.0023174499983724672,0.007176275001256727,0.0003634000022429973,0.012466750002204208,0.0223238750040764,0.00011072868801420555,39.557403564453125,0.011527154594659805,0.0010383198969066143
104,000000189213__woman_with_hat_matisse,cuda,False,256,0.0023174499983724672,0.007176275001256727,0.0003634000022429973,0.012466750002204208,0.0223238750040764,0.00010757724521681666,39.682796478271484,0.011889723129570484,0.0008360163774341345
105,000000255912__antimonocromatismo,cuda,False,256,0.0021081000013509765,0.007289650002348935,0.00033127499773399904,0.01239062500098953,0.02211965000242344,9.76658338913694e-05,40.102577209472656,0.010667324997484684,0.0016434015706181526
105,000000255912__impronte_d_artista,cuda,False,256,0.0021081000013509765,0.007289650002348935,0.00033127499773399904,0.01239062500098953,0.02211965000242344,0.00011172698577865958,39.51841735839844,0.010723771527409554,0.0019334712997078896
105,000000255912__picasso_self_portrait,cuda,False,256,0.0021081000013509765,0.007289650002348935,0.00033127499773399904,0.01239062500098953,0.02211965000242344,0.00010385975474491715,39.83552932739258,0.010727841407060623,0.0016666505252942443
105,000000255912__trial,cuda,False,256,0.0021081000013509765,0.007289650002348935,0.00033127499773399904,0.01239062500098953,0.02211965000242344,0.00011026104766642675,39.575775146484375,0.010465862229466438,0.0017877768259495497
106,000000255912__woman_with_hat_matisse,cuda,False,256,0.002376100001129089,0.007558649998827605,0.0005655499990098178,0.012640074997761985,0.023140374996728497,0.00010589718294795603,39.751155853271484,0.010783789679408073,0.0015902401646599174
106,000000364557__antimonocromatismo,cuda,False,256,0.002376100001129089,0.007558649998827605,0.0005655499990098178,0.012640074997761985,0.023140374996728497,0.00011454943887656555,39.410072326660156,0.018809504806995392,0.0031008305959403515
106,000000364557__impronte_d_artista,cuda,False,256,0.002376100001129089,0.007558649998827605,0.0005655499990098178,0.012640074997761985,0.023140374996728497,0.00011153160448884591,39.526023864746094,0.01872539333999157,0.0029710140079259872
106,000000364557__picasso_self_portrait,cuda,False,256,0.002376100001129089,0.007558649998827605,0.0005655499990098178,0.012640074997761985,0.023140374996728497,0.00010930988355539739,39.613407135009766,0.01871921867132187,0.0026371669955551624
107,000000364557__trial,cuda,False,256,0.0022946749995753635,0.007123949999368051,0.0002961749996757135,0.012323474998993333,0.02203827499761246,0.00011413241736590862,39.42591094970703,0.01862821727991104,0.003127440344542265
107,000000364557__woman_with_hat_matisse,cuda,False,256,0.0022946749995753635,0.007123949999368051,0.0002961749996757135,0.012323474998993333,0.02203827499761246,0.00011545559391379356,39.375850677490234,0.018697546795010567,0.0029398533515632153
107,000000121506__antimonocromatismo,cuda,False,256,0.0022946749995753635,0.007123949999368051,0.0002961749996757135,0.012323474998993333,0.02203827499761246,0.00010190151806455106,39.91819381713867,0.010200394317507744,0.0011601997539401054
107,000000121506__impronte_d_artista,cuda,False,256,0.0022946749995753635,0.007123949999368051,0.0002961749996757135,0.012323474998993333,0.02203827499761246,0.0001108898431994021,39.551082611083984,0.010149091482162476,0.001415317296050489
108,000000121506__picasso_self_portrait,cuda,False,256,0.00214057500124909,0.00716357499914011,0.00036249999902793206,0.012267349997273413,0.021933999996690545,0.00010258200927637517,39.88928985595703,0.010199815034866333,0.001197784673422575
108,000000121506__trial,cuda,False,256,0.00214057500124909,0.00716357499914011,0.00036249999902793206,0.012267349997273413,0.021933999996690545,0.00011339622869854793,39.45401382446289,0.010046402923762798,0.0015880748396739364
108,000000121506__woman_with_hat_matisse,cuda,False,256,0.00214057500124909,0.00716357499914011,0.00036249999902793206,0.012267349997273413,0.021933999996690545,0.00010591087630018592,39.7505989074707,0.01018296554684639,0.001294245244935155
108,000000363666__antimonocromatismo,cuda,False,256,0.00214057500124909,0.00716357499914011,0.00036249999902793206,0.012267349997273413,0.021933999996690545,0.00012218320625834167,39.1298828125,0.019859306514263153,0.003282079240307212
109,000000363666__impronte_d_artista,cuda,False,256,0.0024396499975409824,0.007646975001989631,0.0006395500022335909,0.01263272500000312,0.023358900001767324,0.0001221763959620148,39.130130767822266,0.0198418777436018,0.003297599731013179
109,000000363666__picasso_self_portrait,cuda,False,256,0.0024396499975409824,0.007646975001989631,0.0006395500022335909,0.01263272500000312,0.023358900001767324,0.00011857888603117317,39.259925842285156,0.01975608430802822,0.0032174582593142986
109,000000363666__trial,cuda,False,256,0.0024396499975409824,0.007646975001989631,0.0006395500022335909,0.01263272500000312,0.023358900001767324,0.00011844479013234377,39.26483917236328,0.019697818905115128,0.003338342532515526
109,000000363666__woman_with_hat_matisse,cuda,False,256,0.0024396499975409824,0.007646975001989631,0.0006395500022335909,0.01263272500000312,0.023358900001767324,0.00011870905291289091,39.25516128540039,0.019908558577299118,0.0032914672046899796
